GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven,controller,VendedorController,88,0,8,0,29,0,9,0,5,0
maven,controller,ProdutoController,88,0,8,0,29,0,9,0,5,0
maven,controller,AppController,173,0,34,0,53,0,25,0,2,0
maven,controller,ClienteController,88,0,8,0,29,0,9,0,5,0
maven,view,ClienteView,280,0,8,0,74,0,14,0,8,0
maven,view,AppView,43,68,0,0,17,22,5,1,5,1
maven,view,ProdutoView,226,0,6,0,62,0,12,0,8,0
maven,view,VendedorView,280,0,8,0,74,0,14,0,8,0
maven,dao,DBConnection,18,77,2,8,9,19,2,8,0,5
maven,dao,VendedorDAO,222,134,19,3,60,35,12,5,2,4
maven,dao,ClienteDAO,309,57,20,2,84,16,14,3,4,2
maven,dao,ProdutoDAO,220,118,17,3,59,32,11,5,2,4
maven,aplicacao,Main,10,0,0,0,4,0,2,0,2,0
maven,model,Vendedor,61,62,0,0,9,26,3,13,3,13
maven,model,Cliente,105,18,0,0,27,7,15,1,15,1
maven,model,Produto,16,70,0,0,7,19,2,10,2,10
